Employee_ID,Department,Age,Salary,Experience,Performance,Attrition
E001,Operations,29,33278,9,55,Yes
E002,IT,28,41395,19,67,Yes
E003,HR,27,58657,8,72,Yes
E004,Marketing,34,84987,8,68,No
E005,HR,32,85392,11,57,Yes
E006,IT,43,43396,3,64,Yes
E007,Sales,44,64671,2,86,No
E008,Marketing,29,79615,3,75,No
E009,Operations,45,55203,3,42,Yes
E010,Sales,27,60512,4,64,No
E011,Finance,45,51319,12,62,Yes
E012,Operations,39,39358,20,80,Yes
E013,Marketing,37,51417,15,64,No
E014,Operations,57,58785,11,93,Yes
E015,IT,24,71347,13,57,Yes
E016,IT,58,71245,7,81,No
E017,Finance,51,48726,9,48,Yes
E018,Operations,57,64438,19,67,No
E019,Sales,36,48131,17,71,Yes
E020,HR,29,50033,6,90,No
E021,Marketing,26,80432,13,78,No
E022,Marketing,38,31504,4,83,No
E023,Operations,43,44621,10,67,Yes
E024,Finance,22,64522,17,88,Yes
E025,Marketing,28,69117,17,78,Yes
E026,IT,45,51174,18,89,Yes
E027,Marketing,42,94042,1,47,No
E028,Sales,37,37592,8,96,Yes
E029,HR,53,39071,18,89,Yes
E030,IT,52,51643,9,73,No
E031,IT,56,56365,10,65,No
E032,Finance,55,89177,4,55,Yes
E033,HR,43,32757,19,75,Yes
E034,Marketing,36,30942,3,85,Yes
E035,IT,26,34117,11,44,Yes
E036,Sales,53,58080,18,48,No
E037,IT,52,83354,7,46,Yes
E038,Operations,49,76438,14,66,No
E039,Operations,25,42899,2,65,No
E040,HR,37,55112,7,74,No
E041,IT,49,54050,9,69,Yes
E042,HR,50,42833,2,81,Yes
E043,HR,37,51798,14,71,No
E044,IT,47,37685,6,64,Yes
E045,Finance,38,89638,10,67,No
E046,IT,34,68890,7,43,Yes
E047,Operations,42,37492,2,77,No
E048,Marketing,55,50635,2,72,Yes
E049,IT,26,38907,8,65,Yes
E050,Marketing,37,35209,20,45,No
E051,Operations,59,98522,11,99,No
E052,IT,42,61285,9,65,Yes
E053,Operations,41,89929,11,99,Yes
E054,HR,51,43104,3,74,Yes
E055,Marketing,38,47361,12,96,Yes
E056,IT,45,67353,6,68,No
E057,Marketing,55,31025,18,59,Yes
E058,IT,38,45129,4,87,Yes
E059,Sales,40,57607,11,53,No
E060,Marketing,53,62914,2,45,No
E061,Sales,24,30464,11,89,Yes
E062,Operations,38,51178,15,75,No
E063,Marketing,22,44663,3,100,Yes
E064,Marketing,24,78393,19,75,Yes
E065,Finance,30,35482,10,63,Yes
E066,Sales,35,62706,4,62,No
E067,Marketing,31,61029,6,91,Yes
E068,Finance,23,53509,11,90,No
E069,Operations,37,64970,6,90,Yes
E070,Finance,24,91694,8,52,No
E071,Sales,41,59831,8,41,Yes
E072,Finance,43,66517,3,89,No
E073,Sales,54,82386,18,61,Yes
E074,HR,38,53405,19,56,Yes
E075,HR,60,86959,12,86,No
E076,Finance,60,97033,4,64,Yes
E077,Sales,24,87154,1,73,Yes
E078,Sales,49,39171,11,79,No
E079,Operations,29,69363,17,59,No
E080,Sales,47,68752,18,48,Yes
E081,Finance,46,52810,20,76,No
E082,Finance,57,30053,10,58,Yes
E083,Finance,59,72237,15,68,No
E084,Operations,35,97000,16,90,Yes
E085,Operations,27,67196,17,82,No
E086,HR,37,70687,8,91,Yes
E087,IT,23,36057,8,70,Yes
E088,Finance,48,55485,13,71,No
E089,IT,31,30726,4,89,No
E090,IT,33,97889,15,43,Yes
E091,HR,51,47477,15,82,No
E092,Finance,54,85933,18,68,Yes
E093,Operations,52,88991,9,88,Yes
E094,Operations,39,98327,16,80,Yes
E095,Sales,50,40155,10,55,No
E096,Sales,42,40561,5,49,Yes
E097,Finance,31,58043,3,66,No
E098,Sales,56,91069,14,43,Yes
E099,Finance,46,32560,19,64,No
E100,HR,44,69139,13,94,No
E101,Marketing,56,58906,16,54,No
E102,Finance,53,33804,13,61,No
E103,Operations,32,91261,5,79,Yes
E104,Finance,59,33552,3,81,No
E105,IT,51,53819,2,56,No
E106,Sales,35,89598,11,61,No
E107,Sales,48,63065,3,70,Yes
E108,Operations,56,36826,12,54,Yes
E109,Operations,24,34067,8,52,Yes
E110,Marketing,31,61266,5,70,Yes
E111,Marketing,35,90952,9,89,No
E112,IT,60,45012,6,59,Yes
E113,Marketing,23,70888,19,83,No
E114,Finance,34,39961,19,84,Yes
E115,HR,41,45866,19,90,Yes
E116,Sales,56,86148,12,44,No
E117,HR,48,94251,4,67,No
E118,Operations,51,50052,14,51,No
E119,Marketing,56,93372,15,67,No
E120,Sales,37,41359,9,96,No
E121,IT,51,79674,11,41,No
E122,Sales,33,93904,7,62,No
E123,Sales,39,66211,18,40,Yes
E124,HR,37,83271,16,75,Yes
E125,Operations,52,94332,15,90,Yes
E126,HR,40,59045,13,84,Yes
E127,Sales,59,78368,16,75,No
E128,Finance,57,73357,12,84,No
E129,Sales,41,62951,8,47,Yes
E130,Sales,29,54267,7,53,No
E131,Sales,59,98765,20,58,Yes
E132,IT,40,59816,12,51,No
E133,HR,56,46591,9,42,Yes
E134,Marketing,40,46551,16,46,Yes
E135,Marketing,40,91524,16,68,No
E136,IT,25,63092,16,47,Yes
E137,Finance,53,39710,19,80,Yes
E138,IT,31,69824,3,55,Yes
E139,Marketing,48,59581,17,64,No
E140,Finance,41,86207,10,76,Yes
E141,Marketing,28,57235,7,56,Yes
E142,IT,37,52782,18,44,Yes
E143,HR,48,89048,20,70,No
E144,HR,36,67762,10,84,No
E145,HR,36,64675,19,82,Yes
E146,Finance,29,59466,5,98,No
E147,IT,26,37816,6,90,No
E148,Marketing,58,67828,15,47,No
E149,Operations,41,82757,9,72,No
E150,Finance,27,35224,14,87,No
E151,Marketing,38,33390,3,54,Yes
E152,Operations,39,35273,6,70,No
E153,Sales,33,87132,16,45,No
E154,Sales,48,73687,11,82,Yes
E155,IT,43,83955,16,58,No
E156,Marketing,24,89614,3,60,No
E157,Sales,29,82976,17,92,Yes
E158,Operations,56,90552,14,43,Yes
E159,Marketing,45,95338,15,88,Yes
E160,IT,39,47172,10,68,No
E161,HR,23,61365,6,59,Yes
E162,Marketing,48,42217,8,93,Yes
E163,Finance,29,50181,16,99,No
E164,Marketing,39,84459,16,70,Yes
E165,Finance,57,48958,13,52,Yes
E166,HR,39,84387,11,99,No
E167,HR,40,69132,19,77,No
E168,IT,50,93483,12,61,No
E169,Finance,42,54727,8,76,No
E170,IT,48,35720,11,87,No
E171,Operations,46,80604,5,71,Yes
E172,IT,54,73515,4,95,No
E173,HR,55,89890,1,86,Yes
E174,Finance,31,39807,16,90,No
E175,Sales,47,40527,11,94,No
E176,Sales,53,34705,20,44,Yes
E177,Operations,40,59817,3,67,Yes
E178,Operations,28,88153,6,84,No
E179,HR,24,72516,2,58,No
E180,Sales,49,49080,8,73,No
E181,Marketing,33,52280,6,45,No
E182,Marketing,37,95230,19,49,Yes
E183,Finance,38,90236,9,82,Yes
E184,Finance,40,50706,3,68,No
E185,Marketing,41,85615,9,69,No
E186,IT,46,93335,4,55,No
E187,Marketing,44,68780,10,41,No
E188,Sales,22,36428,20,87,No
E189,Sales,36,76179,8,80,Yes
E190,Marketing,38,47927,4,97,Yes
E191,Sales,50,34373,19,63,Yes
E192,HR,40,72823,14,51,Yes
E193,IT,56,77953,17,72,No
E194,IT,38,93156,10,87,No
E195,HR,51,39869,5,88,Yes
E196,Operations,47,77942,3,90,No
E197,HR,38,46199,15,63,No
E198,Marketing,46,78689,4,83,Yes
E199,Finance,23,72992,20,54,Yes
E200,Operations,51,69608,14,47,Yes
