Employee_ID,Department,Age,Salary,Experience,Performance,Attrition,Risk_Level
E001,Operations,29,33278,9,55,Yes,High Risk
E002,IT,28,41395,19,67,Yes,High Risk
E003,HR,27,58657,8,72,Yes,High Risk
E004,Marketing,34,84987,8,68,No,Low Risk
E005,HR,32,85392,11,57,Yes,High Risk
E006,IT,43,43396,3,64,Yes,High Risk
E007,Sales,44,64671,2,86,No,Low Risk
E008,Marketing,29,79615,3,75,No,Low Risk
E009,Operations,45,55203,3,42,Yes,High Risk
E010,Sales,27,60512,4,64,No,Low Risk
E011,Finance,45,51319,12,62,Yes,High Risk
E012,Operations,39,39358,20,80,Yes,High Risk
E013,Marketing,37,51417,15,64,No,Low Risk
E014,Operations,57,58785,11,93,Yes,High Risk
E015,IT,24,71347,13,57,Yes,High Risk
E016,IT,58,71245,7,81,No,Low Risk
E017,Finance,51,48726,9,48,Yes,High Risk
E018,Operations,57,64438,19,67,No,Low Risk
E019,Sales,36,48131,17,71,Yes,High Risk
E020,HR,29,50033,6,90,No,Low Risk
E021,Marketing,26,80432,13,78,No,Low Risk
E022,Marketing,38,31504,4,83,No,Low Risk
E023,Operations,43,44621,10,67,Yes,High Risk
E024,Finance,22,64522,17,88,Yes,High Risk
E025,Marketing,28,69117,17,78,Yes,High Risk
E026,IT,45,51174,18,89,Yes,High Risk
E027,Marketing,42,94042,1,47,No,Medium Risk
E028,Sales,37,37592,8,96,Yes,High Risk
E029,HR,53,39071,18,89,Yes,High Risk
E030,IT,52,51643,9,73,No,Low Risk
E031,IT,56,56365,10,65,No,Low Risk
E032,Finance,55,89177,4,55,Yes,High Risk
E033,HR,43,32757,19,75,Yes,High Risk
E034,Marketing,36,30942,3,85,Yes,High Risk
E035,IT,26,34117,11,44,Yes,High Risk
E036,Sales,53,58080,18,48,No,Medium Risk
E037,IT,52,83354,7,46,Yes,High Risk
E038,Operations,49,76438,14,66,No,Low Risk
E039,Operations,25,42899,2,65,No,Low Risk
E040,HR,37,55112,7,74,No,Low Risk
E041,IT,49,54050,9,69,Yes,High Risk
E042,HR,50,42833,2,81,Yes,High Risk
E043,HR,37,51798,14,71,No,Low Risk
E044,IT,47,37685,6,64,Yes,High Risk
E045,Finance,38,89638,10,67,No,Low Risk
E046,IT,34,68890,7,43,Yes,High Risk
E047,Operations,42,37492,2,77,No,Low Risk
E048,Marketing,55,50635,2,72,Yes,High Risk
E049,IT,26,38907,8,65,Yes,High Risk
E050,Marketing,37,35209,20,45,No,Medium Risk
